book,prop,gate,hr,n,hits,wilson_low,lift_vs_base,base_hr,train_hr,train_n,oos_hr,oos_n,ticket_clear,oos_ticket_clear
Goblin OVER,walks_allowed,L10>=9 + cover>=1,0.8636,242,209,0.8147,0.1246,0.739,0.7907,43,0.8794,199,True,True
Goblin OVER,walks_allowed,L5=5 + cover>=2,0.8715,179,156,0.8146,0.1325,0.739,0.7879,33,0.8904,146,True,True
Goblin OVER,earned_runs,cover>=2,0.8441,667,563,0.8146,0.1339,0.7102,0.8457,162,0.8436,505,True,True
Goblin OVER,pitcher_ks,L5=5 + cover>=1,0.8708,178,155,0.8136,0.1732,0.6976,0.8049,41,0.8905,137,True,True
Goblin OVER,earned_runs,L10>=9 + season_cush>=1,0.8558,326,279,0.8135,0.1456,0.7102,0.8413,63,0.8593,263,True,True
Goblin OVER,earned_runs,L10>=9 + season_cush>=2,0.8684,190,165,0.813,0.1582,0.7102,0.814,43,0.8844,147,True,True
Goblin OVER,walks_allowed,L10>=8 + own_bats_Strong + season_cush>=1,0.881,126,111,0.8128,0.142,0.739,0.9655,29,0.8557,97,True,True
Goblin OVER,hits_allowed,L10=10 + cover>=0.5,0.8987,79,71,0.8127,0.2029,0.6958,0.7143,14,0.9385,65,True,True
Goblin OVER,walks_allowed,L10>=8 + cover>=1.5,0.8567,300,257,0.8125,0.1177,0.739,0.806,67,0.8712,233,True,True
Goblin OVER,walks_allowed,L10>=9 + cover>=1.5,0.8654,208,180,0.8123,0.1264,0.739,0.7895,38,0.8824,170,True,True
Goblin OVER,pitching_outs,season_cush>=2,0.8494,425,361,0.8123,0.1471,0.7023,0.7789,95,0.8697,330,True,True
Goblin OVER,hits_allowed,L5>=4 + cover>=0.5,0.8449,548,463,0.8122,0.1491,0.6958,0.75,136,0.8762,412,True,True
Goblin OVER,pitcher_ks,L5=5 + season_cush>=2,0.8562,299,256,0.8119,0.1586,0.6976,0.8,70,0.8734,229,True,True
Goblin OVER,walks_allowed,L5>=4 + cover>=1,0.8468,483,409,0.8119,0.1078,0.739,0.8387,124,0.8496,359,True,True
Goblin OVER,earned_runs,L10=10 + own_pitch_stingy,0.92,50,46,0.8116,0.2098,0.7102,0.8182,11,0.9487,39,True,True
Goblin OVER,walks_allowed,cover>=2,0.8514,370,315,0.8115,0.1124,0.739,0.802,101,0.8699,269,True,True
Goblin OVER,pitching_outs,L5=5 + L10>=8 + own_pitch_leaky,0.8913,92,82,0.8114,0.189,0.7023,0.8571,21,0.9014,71,True,True
Goblin OVER,earned_runs,L10>=9,0.8447,528,446,0.8113,0.1345,0.7102,0.823,113,0.8506,415,True,True
Goblin OVER,earned_runs,L10>=8 + cover>=2,0.8478,427,362,0.8106,0.1376,0.7102,0.8144,97,0.8576,330,True,True
Goblin OVER,earned_runs,L10>=8 + opp_bats_Strong + cover>=1,0.8632,212,183,0.8104,0.153,0.7102,0.8,40,0.8779,172,True,True
Goblin OVER,walks_allowed,L10>=8 + cover>=1,0.8496,379,322,0.8101,0.1106,0.739,0.837,92,0.8537,287,True,True
Goblin OVER,hits_allowed,L10>=9 + cover>=0.5,0.8583,254,218,0.81,0.1625,0.6958,0.7255,51,0.8916,203,True,True
Goblin OVER,walks_allowed,L10>=8 + cover>=2,0.8583,254,218,0.81,0.1193,0.739,0.7778,54,0.88,200,True,True
Goblin OVER,walks_allowed,L5=5 + L10>=8,0.861,223,192,0.8094,0.122,0.739,0.7885,52,0.883,171,True,True
Goblin OVER,earned_runs,L10>=9 + cover>=2,0.8566,265,227,0.8093,0.1464,0.7102,0.8182,55,0.8667,210,True,True
Goblin OVER,pitcher_ks,L5>=4 + cover>=0.5,0.8382,692,580,0.8089,0.1406,0.6976,0.8306,183,0.8409,509,True,True
Goblin OVER,walks_allowed,L5=5 + season_cush>=1,0.8627,204,176,0.8088,0.1237,0.739,0.7955,44,0.8812,160,True,True
Goblin OVER,hits_allowed,L10>=8 + season_cush>=2,0.8501,347,295,0.8088,0.1543,0.6958,0.7625,80,0.8764,267,True,True
Goblin OVER,earned_runs,line_0.5,0.8287,1489,1234,0.8088,0.1185,0.7102,0.826,431,0.8299,1058,True,True
Goblin OVER,hits_allowed,L10>=9 + season_cush>=2,0.8583,240,206,0.8086,0.1625,0.6958,0.7308,52,0.8936,188,True,True
Goblin OVER,pitcher_ks,L10>=8 + own_bats_Strong + cover>=1,0.8961,77,69,0.8082,0.1985,0.6976,0.8,20,0.9298,57,True,True
Goblin OVER,earned_runs,L10=10 + season_cush>=2,0.8961,77,69,0.8082,0.1859,0.7102,0.7647,17,0.9333,60,True,True
Goblin OVER,walks_allowed,L5=5 + opp_pitch_leaky,0.8716,148,129,0.8082,0.1326,0.739,0.7742,62,0.9419,86,True,True
Goblin OVER,walks_allowed,L10>=8 + own_pitch_stingy + cover>=1,0.8716,148,129,0.8082,0.1326,0.739,0.9,30,0.8644,118,True,True
Goblin OVER,hits_allowed,L5>=4 + L10>=8,0.8408,559,470,0.8081,0.145,0.6958,0.7902,143,0.8582,416,True,True
Goblin OVER,pitching_outs,L10>=9 + own_pitch_leaky,0.8639,191,165,0.808,0.1616,0.7023,0.8571,42,0.8658,149,True,True
Goblin OVER,pitching_outs,L10=10 + season_cush>=1,0.9,70,63,0.8077,0.1977,0.7023,0.85,20,0.92,50,True,True
Goblin OVER,hits_allowed,L10=10 + opp_pitch_stingy,0.9107,56,51,0.8074,0.2149,0.6958,1.0,9,0.8936,47,True,True
Goblin OVER,earned_runs,L5=5 + own_pitch_stingy + season_cush>=1,0.8889,90,80,0.8074,0.1787,0.7102,0.8235,17,0.9041,73,True,True
Goblin OVER,earned_runs,L10>=9 + cover>=1.5,0.8531,286,244,0.8074,0.1429,0.7102,0.8246,57,0.8603,229,True,True
Goblin OVER,pitching_outs,L5=5 + L10>=8,0.8622,196,169,0.807,0.1599,0.7023,0.8113,53,0.8811,143,True,True
Goblin OVER,walks_allowed,L5=5 + line_0.5,0.853,279,238,0.8067,0.114,0.739,0.7798,109,0.9,170,True,True
Goblin OVER,pitching_outs,L10>=9 + opp_pitch_leaky,0.8679,159,138,0.8065,0.1656,0.7023,0.9,40,0.8571,119,True,True
Goblin OVER,walks_allowed,L10>=9 + cover>=0.5,0.8549,255,218,0.8064,0.1159,0.739,0.7955,44,0.8673,211,True,True
Goblin OVER,earned_runs,L10>=8 + cover>=1,0.8389,565,474,0.8064,0.1287,0.7102,0.8214,112,0.8433,453,True,True
Goblin OVER,walks_allowed,L5>=4 + season_cush>=1,0.8462,377,319,0.8063,0.1072,0.739,0.8367,98,0.8495,279,True,True
Goblin OVER,pitching_outs,L10>=8 + own_pitch_leaky + season_cush>=1,0.8624,189,163,0.8061,0.1601,0.7023,0.8571,35,0.8636,154,True,True
Goblin OVER,earned_runs,L10>=8 + opp_bats_Strong + season_cush>=1,0.8584,219,188,0.8061,0.1482,0.7102,0.7857,42,0.8757,177,True,True
Goblin OVER,earned_runs,L10>=8 + cover>=1.5,0.8409,484,407,0.8057,0.1307,0.7102,0.8208,106,0.8466,378,True,True
Goblin OVER,pitcher_ks,L10>=9 + cover>=1,0.8684,152,132,0.8055,0.1708,0.6976,0.7667,30,0.8934,122,True,True
Goblin OVER,pitcher_ks,L5=5 + opp_pitch_leaky + season_cush>=1,0.8671,158,137,0.8054,0.1695,0.6976,0.878,41,0.8632,117,True,True
Goblin OVER,pitcher_ks,L5=5 + own_bats_Strong + cover>=1,0.8986,69,62,0.8051,0.201,0.6976,0.8421,19,0.92,50,True,True
Goblin OVER,walks_allowed,L10>=9 + own_bats_Strong,0.8608,194,167,0.8051,0.1218,0.739,0.8,45,0.8792,149,True,True
Goblin OVER,pitcher_ks,L5>=4 + season_cush>=2,0.8391,522,438,0.8051,0.1415,0.6976,0.8077,130,0.8495,392,True,True
Goblin OVER,walks_allowed,cover>=1.5,0.8414,454,382,0.805,0.1024,0.739,0.7857,126,0.8628,328,True,True
Goblin OVER,walks_allowed,L10=10 + own_pitch_leaky,0.9091,55,50,0.8042,0.1701,0.739,0.9286,14,0.9024,41,True,True
Goblin OVER,earned_runs,L5>=4 + cover>=1.5,0.8358,603,504,0.8041,0.1256,0.7102,0.8134,134,0.8422,469,True,True
Goblin OVER,walks_allowed,L10>=9,0.8402,463,389,0.804,0.1012,0.739,0.7778,117,0.8613,346,True,True
Goblin OVER,hits_allowed,L10>=8 + opp_bats_Strong + season_cush>=1,0.8552,221,189,0.8027,0.1594,0.6958,0.7931,58,0.8773,163,True,True
Goblin OVER,hits_allowed,L10>=8 + own_pitch_stingy + cover>=1,0.8971,68,61,0.8024,0.2013,0.6958,0.8125,16,0.9231,52,True,True
Goblin OVER,pitcher_ks,L10>=9 + season_cush>=2,0.8438,352,297,0.8021,0.1462,0.6976,0.7692,65,0.8606,287,True,True
Goblin OVER,walks_allowed,L10>=8 + own_bats_Strong + cover>=1,0.8658,149,129,0.8018,0.1268,0.739,0.9412,34,0.8435,115,True,True
Goblin OVER,pitcher_ks,L5=5 + L10>=8 + own_pitch_stingy,0.8634,161,139,0.8018,0.1658,0.6976,0.7805,41,0.8917,120,True,True
Goblin OVER,pitcher_ks,L10=10 + cover>=0.5,0.8634,161,139,0.8018,0.1658,0.6976,0.8649,37,0.8629,124,True,True
Goblin OVER,walks_allowed,L10>=8 + opp_pitch_leaky + cover>=1,0.8623,167,144,0.8018,0.1233,0.739,0.8333,42,0.872,125,True,True
Goblin OVER,hits_allowed,L10>=8 + own_bats_Strong + cover>=1,0.8919,74,66,0.8009,0.1961,0.6958,0.9,20,0.8889,54,True,True
Goblin OVER,earned_runs,L5>=4 + L10>=8,0.8336,571,476,0.8009,0.1234,0.7102,0.8142,113,0.8384,458,True,True
Goblin OVER,pitching_outs,L5=5 + season_cush>=1,0.8545,213,182,0.8008,0.1522,0.7023,0.7778,63,0.8867,150,True,True
Goblin OVER,hits_allowed,L10>=9 + season_cush>=1,0.8444,315,266,0.8003,0.1486,0.6958,0.7571,70,0.8694,245,True,True
Goblin OVER,hits_allowed,L5=5 + L10>=8,0.8476,269,228,0.7998,0.1518,0.6958,0.7703,74,0.8769,195,True,True
Goblin OVER,hits_allowed,season_cush>=2,0.8376,431,361,0.7998,0.1418,0.6958,0.7383,107,0.8704,324,True,True
Goblin OVER,earned_runs,cover>=1.5,0.8278,784,649,0.7998,0.1176,0.7102,0.8307,189,0.8269,595,True,True
