team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Genclerbirligi,GENCLERBIRLIGI,Süper Lig,26,36.0,1.385,,0,6,0,13,10,Avg
Kasimpasa,KASIMPASA,Süper Lig,26,36.0,1.385,,0,5,0,12,10,Avg
Antalyaspor,ANTALYASPOR,Süper Lig,26,43.0,1.654,,0,6,0,14,16,Weak
Eyupspor,EYUPSPOR,Süper Lig,26,37.0,1.423,,0,5,0,14,13,Avg
Kayserispor,KAYSERISPOR,Süper Lig,26,48.0,1.846,,0,3,0,12,18,Weak
Fatih Karagümrük,FATIH KARAGÜMRÜK,Süper Lig,26,46.0,1.769,,0,4,0,17,17,Weak
Arsenal,ARSENAL,UCL,8,4.0,0.5,,0,8,0,0,1,Elite
Bayern Munich,BAYERN MUNICH,UCL,8,8.0,1.0,,0,7,0,1,5,Elite
Liverpool,LIVERPOOL,UCL,8,8.0,1.0,,0,6,0,2,5,Elite
Tottenham Hotspur,SPURS,UCL,8,7.0,0.875,,0,5,0,1,2,Elite
Barcelona,BARCELONA,UCL,8,14.0,1.75,,0,5,0,2,17,Above Avg
Chelsea,CHELSEA,UCL,8,10.0,1.25,,0,5,0,2,8,Elite
Sporting CP,SPORTING CP,UCL,8,11.0,1.375,,0,5,0,2,11,Above Avg
Manchester City,MAN CITY,UCL,8,9.0,1.125,,0,5,0,2,7,Elite
Real Madrid,REAL MADRID,UCL,8,12.0,1.5,,0,5,0,3,15,Above Avg
Internazionale,INTERNAZIONALE,UCL,8,7.0,0.875,,0,5,0,3,2,Elite
Paris Saint-Germain,PSG,UCL,8,11.0,1.375,,0,4,0,2,11,Above Avg
Newcastle United,NEWCASTLE,UCL,8,7.0,0.875,,0,4,0,2,2,Elite
Juventus,JUVENTUS,UCL,8,10.0,1.25,,0,3,0,1,8,Elite
Atlético Madrid,ATLÉTICO MADRID,UCL,8,15.0,1.875,,0,4,0,3,23,Avg
Atalanta,ATALANTA,UCL,8,10.0,1.25,,0,4,0,3,8,Elite
Bayer Leverkusen,LEVERKUSEN,UCL,8,14.0,1.75,,0,3,0,2,17,Above Avg
Borussia Dortmund,DORTMUND,UCL,8,17.0,2.125,,0,3,0,3,27,Avg
Olympiacos,OLYMPIACOS,UCL,8,14.0,1.75,,0,3,0,3,17,Above Avg
Club Brugge,CLUB BRUGGE,UCL,8,17.0,2.125,,0,3,0,4,27,Avg
Galatasaray,GALATASARAY,UCL,8,11.0,1.375,,0,3,0,4,11,Above Avg
AS Monaco,MONACO,UCL,8,14.0,1.75,,0,2,0,2,17,Above Avg
FK Qarabag,FK QARABAG,UCL,8,21.0,2.625,,0,3,0,4,32,Weak
Bodo/Glimt,BODO/GLIMT,UCL,8,15.0,1.875,,0,2,0,3,23,Avg
Benfica,BENFICA,UCL,8,12.0,1.5,,0,3,0,5,15,Above Avg
Marseille,MARSEILLE,UCL,8,14.0,1.75,,0,3,0,5,17,Above Avg
Pafos,PAFOS,UCL,8,11.0,1.375,,0,2,0,3,11,Above Avg
Union St.-Gilloise,UNION ST.-GILLOISE,UCL,8,17.0,2.125,,0,3,0,5,27,Avg
PSV Eindhoven,PSV EINDHOVEN,UCL,8,16.0,2.0,,0,2,0,4,26,Avg
Athletic Club,ATHLETIC BILBAO,UCL,8,14.0,1.75,,0,2,0,4,17,Above Avg
Napoli,NAPOLI,UCL,8,15.0,1.875,,0,2,0,4,23,Avg
F.C. København,F.C. KØBENHAVN,UCL,8,21.0,2.625,,0,2,0,4,32,Weak
Ajax Amsterdam,AJAX AMSTERDAM,UCL,8,21.0,2.625,,0,2,0,6,32,Weak
Eintracht Frankfurt,FRANKFURT,UCL,8,21.0,2.625,,0,1,0,6,32,Weak
Slavia Prague,SLAVIA PRAGUE,UCL,8,19.0,2.375,,0,0,0,5,31,Weak
Villarreal,VILLARREAL,UCL,8,18.0,2.25,,0,0,0,7,30,Weak
Kairat Almaty,KAIRAT ALMATY,UCL,8,22.0,2.75,,0,0,0,7,36,Weak
Manchester City,MAN CITY,WSL,17,13.0,0.765,,0,14,0,2,2,Elite
Manchester United,MAN UNITED,WSL,16,16.0,1.0,,0,10,0,2,4,Above Avg
Chelsea,CHELSEA,WSL,16,13.0,0.812,,0,10,0,3,3,Elite
Arsenal,ARSENAL,WSL,15,10.0,0.667,,0,9,0,1,1,Elite
Tottenham Hotspur,SPURS,WSL,17,26.0,1.529,,0,9,0,6,6,Above Avg
Everton,EVERTON,WSL,17,27.0,1.588,,0,6,0,9,7,Avg
London City Lionesses,LONDON CITY LIONESSES,WSL,17,29.0,1.706,,0,6,0,10,9,Avg
Brighton & Hove Albion,BRIGHTON,WSL,15,20.0,1.333,,0,5,0,8,5,Above Avg
Aston Villa,ASTON VILLA,WSL,17,36.0,2.118,,0,4,0,8,11,Weak
Liverpool,LIVERPOOL,WSL,17,27.0,1.588,,0,3,0,10,7,Avg
West Ham United,WEST HAM,WSL,16,35.0,2.188,,0,3,0,11,12,Weak
Leicester City,LEICESTER,WSL,16,33.0,2.062,,0,2,0,11,10,Weak
