player,player_norm,gsis_id,pfr_player_id,team,position,season,as_of_week,games,snap_pct_L3,snap_pct_season,wopr_L3,wopr_season,target_share_L3,target_share_season,air_yards_share_L3,route_pct_L3,route_pct_season,route_pct_source,targets_L3,receptions_L3
Feleipe Franks,feleipe franks,00-0036825,FranFe00,CAR,TE,2026,1,1,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,snap_proxy,0,0
Kalif Raymond,kalif raymond,00-0032464,RaymKa00,CHI,WR,2026,1,1,60.0,60.0,0.6619,0.6619,0.3462,0.3462,0.2038,60.0,60.0,snap_proxy,9,8
Rome Odunze,rome odunze,00-0039919,OdunRo00,CHI,WR,2026,1,1,48.0,48.0,0.3706,0.3706,0.1154,0.1154,0.2821,48.0,48.0,snap_proxy,3,2
Luther Burden,luther burden,00-0040735,BurdLu00,CHI,WR,2026,1,1,73.0,73.0,0.3675,0.3675,0.1923,0.1923,0.1129,73.0,73.0,snap_proxy,5,5
Cole Kmet,cole kmet,00-0036290,KmetCo00,CHI,TE,2026,1,1,57.0,57.0,0.2762,0.2762,0.1154,0.1154,0.1473,57.0,57.0,snap_proxy,3,2
Colston Loveland,colston loveland,00-0040126,LoveCo00,CHI,TE,2026,1,1,87.0,87.0,0.1812,0.1812,0.0769,0.0769,0.094,87.0,87.0,snap_proxy,2,0
Kyle Monangai,kyle monangai,00-0040236,MonaKy00,CHI,RB,2026,1,1,43.0,43.0,0.1351,0.1351,0.0769,0.0769,0.0282,43.0,43.0,snap_proxy,2,2
D'Andre Swift,dandre swift,00-0036275,SwifDA00,CHI,RB,2026,1,1,57.0,57.0,0.0665,0.0665,0.0385,0.0385,0.0125,57.0,57.0,snap_proxy,1,1
Jahdae Walker,jahdae walker,00-0040277,WalkJa03,CHI,WR,2026,1,1,45.0,45.0,0.0599,0.0599,0.0385,0.0385,0.0031,45.0,45.0,snap_proxy,1,1
Kaden Davis,kaden davis,00-0037380,DaviKa02,CHI,WR,2026,1,1,13.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,snap_proxy,0,0
Roschon Johnson,roschon johnson,00-0039021,JohnRo07,CHI,RB,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Sam Roush,sam roush,nan,RousSa00,CHI,TE,2026,1,1,16.0,16.0,,,,,,16.0,16.0,snap_proxy,0,0
Zavion Thomas,zavion thomas,nan,ThomZa05,CHI,WR,2026,1,1,0.0,0.0,,,,,,0.0,0.0,snap_proxy,0,0
Tee Higgins,tee higgins,00-0036410,HiggTe00,CIN,WR,2026,1,1,72.0,72.0,0.6271,0.6271,0.1765,0.1765,0.5177,72.0,72.0,snap_proxy,6,3
Mike Gesicki,mike gesicki,00-0034829,GesiMi00,CIN,TE,2026,1,1,33.0,33.0,0.504,0.504,0.2059,0.2059,0.2788,33.0,33.0,snap_proxy,7,5
Ja'Marr Chase,jamarr chase,00-0036900,ChasJa00,CIN,WR,2026,1,1,94.0,94.0,0.2818,0.2818,0.1176,0.1176,0.1504,94.0,94.0,snap_proxy,4,2
Andrei Iosivas,andrei iosivas,00-0038619,IosiAn00,CIN,WR,2026,1,1,61.0,61.0,0.1788,0.1788,0.0882,0.0882,0.0664,61.0,61.0,snap_proxy,3,2
Drew Sample,drew sample,00-0035631,SampDr00,CIN,TE,2026,1,1,66.0,66.0,0.1324,0.1324,0.0882,0.0882,0.0,66.0,66.0,snap_proxy,3,3
Tanner Hudson,tanner hudson,00-0034613,HudsTa00,CIN,TE,2026,1,1,9.0,9.0,0.0565,0.0565,0.0294,0.0294,0.0177,9.0,9.0,snap_proxy,1,1
Dohnte Meyers,dohnte meyers,00-0040785,MeyeDo00,CIN,WR,2026,1,1,16.0,16.0,0.0503,0.0503,0.0294,0.0294,0.0088,16.0,16.0,snap_proxy,1,1
Colbie Young,colbie young,nan,YounCo01,CIN,WR,2026,1,1,14.0,14.0,,,,,,14.0,14.0,snap_proxy,0,0
Erick All,erick all,nan,AllxEr00,CIN,TE,2026,1,1,31.0,31.0,,,,,,31.0,31.0,snap_proxy,0,0
Denzel Boston,denzel boston,00-0041037,BostDe00,CLE,WR,2026,1,1,92.0,92.0,0.6227,0.6227,0.1818,0.1818,0.5,92.0,92.0,snap_proxy,4,2
KC Concepcion,kc concepcion,00-0041547,ConcKC00,CLE,WR,2026,1,1,69.0,69.0,0.5343,0.5343,0.2273,0.2273,0.2763,69.0,69.0,snap_proxy,5,4
Jerry Jeudy,jerry jeudy,00-0036407,JeudJe00,CLE,WR,2026,1,1,63.0,63.0,0.3955,0.3955,0.1818,0.1818,0.1754,63.0,63.0,snap_proxy,4,2
Harold Fannin,harold fannin,00-0040663,FannHa00,CLE,TE,2026,1,1,82.0,82.0,0.2352,0.2352,0.1364,0.1364,0.0439,82.0,82.0,snap_proxy,3,2
Raheim Sanders,raheim sanders,00-0040466,SandRa00,CLE,RB,2026,1,1,35.0,35.0,0.1861,0.1861,0.1364,0.1364,-0.0263,35.0,35.0,snap_proxy,3,3
Quinshon Judkins,quinshon judkins,00-0040784,JudkQu00,CLE,RB,2026,1,1,65.0,65.0,0.1394,0.1394,0.0909,0.0909,0.0044,65.0,65.0,snap_proxy,2,2
Blake Whiteheart,blake whiteheart,00-0038710,WhitBl01,CLE,TE,2026,1,1,39.0,39.0,0.0866,0.0866,0.0455,0.0455,0.0263,39.0,39.0,snap_proxy,1,1
Carsen Ryan,carsen ryan,00-0041131,RyanCa00,CLE,TE,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Dylan Sampson,dylan sampson,00-0040162,SampDy00,CLE,RB,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Malachi Corley,malachi corley,00-0039920,CorlMa00,CLE,WR,2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,snap_proxy,0,0
Isaiah Bond,isaiah bond,nan,BondIs00,CLE,WR,2026,1,1,14.0,14.0,,,,,,14.0,14.0,snap_proxy,0,0
Michael Burton,michael burton,nan,BurtMi00,CLE,FB,2026,1,1,12.0,12.0,,,,,,12.0,12.0,snap_proxy,0,0
Tylan Wallace,tylan wallace,nan,WallTy00,CLE,WR,2026,1,1,29.0,29.0,,,,,,29.0,29.0,snap_proxy,0,0
CeeDee Lamb,ceedee lamb,00-0036358,LambCe00,DAL,WR,2026,1,1,81.0,81.0,0.6039,0.6039,0.2667,0.2667,0.2913,81.0,81.0,snap_proxy,8,5
George Pickens,george pickens,00-0037247,PickGe00,DAL,WR,2026,1,1,84.0,84.0,0.5356,0.5356,0.2,0.2,0.3366,84.0,84.0,snap_proxy,6,3
Ryan Flournoy,ryan flournoy,00-0039410,FlouRy00,DAL,WR,2026,1,1,71.0,71.0,0.2521,0.2521,0.1333,0.1333,0.0744,71.0,71.0,snap_proxy,4,2
