season,week,game_id,player,player_norm,gsis_id,pfr_player_id,team,opponent,position,offense_snaps,snap_pct,route_pct,route_pct_source,targets,receptions,receiving_yards,target_share,air_yards_share,wopr,player_display_name,player_name
2026,1,2026_01_ATL_PIT,Nick Muse,nick muse,00-0037317,MuseNi00,ATL,PIT,TE,5,8.0,8.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Nick Muse,N.Muse
2026,1,2026_01_BAL_IND,Tyler Warren,tyler warren,00-0040128,WarrTy00,IND,BAL,TE,50,93.0,93.0,snap_proxy,5.0,3.0,13.0,0.172413793103448,0.114427860696517,0.338720192142735,Tyler Warren,T.Warren
2026,1,2026_01_BAL_IND,Josh Downs,josh downs,00-0038997,DownJo00,IND,BAL,WR,48,89.0,89.0,snap_proxy,4.0,2.0,37.0,0.137931034482759,0.17910447761194,0.332269686052496,Josh Downs,J.Downs
2026,1,2026_01_BAL_IND,Jonathan Taylor,jonathan taylor,00-0036223,TaylJo02,IND,BAL,RB,48,89.0,89.0,snap_proxy,4.0,3.0,23.0,0.137931034482759,0.0,0.206896551724138,Jonathan Taylor,J.Taylor
2026,1,2026_01_BAL_IND,Keenan Allen,keenan allen,00-0030279,AlleKe00,IND,BAL,WR,36,67.0,67.0,snap_proxy,6.0,6.0,32.0,0.206896551724138,0.109452736318408,0.386961743009092,Keenan Allen,K.Allen
2026,1,2026_01_BAL_IND,Alec Pierce,alec pierce,00-0037664,PierAl00,IND,BAL,WR,32,59.0,59.0,snap_proxy,6.0,4.0,61.0,0.206896551724138,0.512437810945274,0.669051295247899,Alec Pierce,A.Pierce
2026,1,2026_01_BAL_IND,Laquon Treadwell,laquon treadwell,00-0032951,TreaLa00,IND,BAL,WR,19,35.0,35.0,snap_proxy,1.0,0.0,0.0,0.0344827586206897,0.0199004975124378,0.0656544861897409,Laquon Treadwell,L.Treadwell
2026,1,2026_01_BAL_IND,Mo Alie-Cox,mo alie cox,,AlieMo00,IND,BAL,TE,14,26.0,26.0,snap_proxy,,,,,,,,
2026,1,2026_01_BAL_IND,Ashton Dulin,ashton dulin,00-0035021,DuliAs00,IND,BAL,WR,10,19.0,19.0,snap_proxy,1.0,0.0,0.0,0.0344827586206897,0.0,0.0517241379310345,Ashton Dulin,A.Dulin
2026,1,2026_01_BAL_IND,Andrew Ogletree,andrew ogletree,00-0037292,OgleAn00,IND,BAL,TE,6,11.0,11.0,snap_proxy,1.0,0.0,0.0,0.0344827586206897,0.0149253731343284,0.0621718991250643,Andrew Ogletree,A.Ogletree
2026,1,2026_01_BAL_IND,Seth McGowan,seth mcgowan,00-0041125,McGoSe01,IND,BAL,RB,6,11.0,11.0,snap_proxy,1.0,1.0,0.0,0.0344827586206897,-0.0099502487562189,0.0447589638016813,Seth McGowan,S.McGowan
2026,1,2026_01_BAL_IND,Deion Burks,deion burks,,BurkDe02,IND,BAL,WR,0,0.0,0.0,snap_proxy,,,,,,,,
2026,1,2026_01_BAL_IND,Rashod Bateman,rashod bateman,00-0036550,BateRa00,BAL,IND,WR,53,78.0,78.0,snap_proxy,1.0,0.0,0.0,0.0416666666666667,0.0855018587360595,0.122351301115242,Rashod Bateman,R.Bateman
2026,1,2026_01_BAL_IND,Mark Andrews,mark andrews,00-0034753,AndrMa00,BAL,IND,TE,49,72.0,72.0,snap_proxy,6.0,4.0,49.0,0.25,0.163568773234201,0.489498141263941,Mark Andrews,M.Andrews
2026,1,2026_01_BAL_IND,Durham Smythe,durham smythe,00-0034798,SmytDu00,BAL,IND,TE,42,62.0,62.0,snap_proxy,1.0,1.0,4.0,0.0416666666666667,0.0148698884758364,0.0729089219330855,Durham Smythe,D.Smythe
2026,1,2026_01_BAL_IND,Derrick Henry,derrick henry,00-0032764,HenrDe00,BAL,IND,RB,37,54.0,54.0,snap_proxy,1.0,1.0,19.0,0.0416666666666667,-0.0037174721189591,0.0598977695167286,Derrick Henry,D.Henry
2026,1,2026_01_BAL_IND,Justice Hill,justice hill,00-0034975,HillJu00,BAL,IND,RB,31,46.0,46.0,snap_proxy,1.0,1.0,10.0,0.0416666666666667,-0.0037174721189591,0.0598977695167286,Justice Hill,J.Hill
2026,1,2026_01_BAL_IND,Ja'Kobi Lane,jakobi lane,00-0040870,LaneJa01,BAL,IND,WR,27,40.0,40.0,snap_proxy,3.0,1.0,11.0,0.125,0.111524163568773,0.265566914498141,Ja'Kobi Lane,J.Lane
2026,1,2026_01_BAL_IND,Chris Moore,chris moore,00-0032398,MoorCh00,BAL,IND,WR,25,37.0,37.0,snap_proxy,2.0,1.0,53.0,0.0833333333333333,0.252788104089219,0.301951672862454,Chris Moore,C.Moore
2026,1,2026_01_BAL_IND,Matthew Hibner,matthew hibner,00-0040879,HibnMa00,BAL,IND,TE,23,34.0,34.0,snap_proxy,1.0,1.0,13.0,0.0416666666666667,0.0037174721189591,0.0651022304832714,Matthew Hibner,M.Hibner
2026,1,2026_01_BAL_IND,LaJohntay Wester,lajohntay wester,00-0040075,WestLa01,BAL,IND,WR,20,28.999999999999996,28.999999999999996,snap_proxy,2.0,2.0,15.0,0.0833333333333333,0.0408921933085502,0.153624535315985,LaJohntay Wester,L.Wester
2026,1,2026_01_BAL_IND,Zay Flowers,zay flowers,00-0039064,FlowZa00,BAL,IND,WR,20,28.999999999999996,28.999999999999996,snap_proxy,6.0,5.0,150.0,0.25,0.338289962825279,0.611802973977695,Zay Flowers,Z.Flowers
2026,1,2026_01_BAL_IND,Josh Cuevas,josh cuevas,,CuevJo00,BAL,IND,TE,6,9.0,9.0,snap_proxy,,,,,,,,
2026,1,2026_01_BAL_IND,Rasheen Ali,rasheen ali,00-0039796,AlixRa00,BAL,IND,RB,0,0.0,0.0,snap_proxy,0.0,0.0,0.0,0.0,0.0,0.0,Rasheen Ali,R.Ali
2026,1,2026_01_BUF_HOU,Nico Collins,nico collins,00-0036554,CollNi00,HOU,BUF,WR,57,72.0,72.0,snap_proxy,10.0,7.0,75.0,0.27027027027027,0.372670807453416,0.666274970622797,Nico Collins,N.Collins
2026,1,2026_01_BUF_HOU,Dalton Schultz,dalton schultz,00-0034383,SchuDa00,HOU,BUF,TE,52,66.0,66.0,snap_proxy,8.0,4.0,35.0,0.216216216216216,0.0807453416149068,0.380846063454759,Dalton Schultz,D.Schultz
2026,1,2026_01_BUF_HOU,Xavier Hutchinson,xavier hutchinson,00-0038618,HutcXa00,HOU,BUF,WR,44,56.00000000000001,56.00000000000001,snap_proxy,6.0,3.0,32.0,0.162162162162162,0.177018633540373,0.367156286721504,Xavier Hutchinson,X.Hutchinson
